"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b3667",236.103846017585,-1.39804506684612,0.301694301920285,-4.63397902428901,3.58703356520095e-06,1.28190365489321e-05
"b3668",464.883301751669,-1.88658722640826,0.281453023096575,-6.70302704746901,2.04145658821334e-11,1.39226026482331e-10
"b3669",611.388846196037,-1.30193026965951,0.234280630468918,-5.55714002926176,2.7423075758376e-08,1.29254097074479e-07
"b4618",15819.0971799605,-4.31647919019776,0.164921997773811,-26.172852915096,5.41550199688435e-151,2.29725594707834e-148
"b3673",4259.01552757249,-2.17845091804332,0.218402944286263,-9.97445764828156,1.97175714745747e-23,3.89032270675097e-22
"b3675",93.7685128309281,-0.891719874968291,0.404707918097109,-2.20336651469795,0.0275689263263174,0.0472133167041738
"b3677",201.501920420391,-1.12732863782189,0.298537994377224,-3.77616470618287,0.000159261699194876,0.000436144692049493
"b3678",123.823489729113,-1.03655283606253,0.379514425041411,-2.73126070491108,0.00630925404257146,0.0125710923666454
"b3679",101.449121208487,-1.45620343266035,0.465046830690923,-3.13130492792921,0.00174031359625676,0.00389984694945651
"b3683",58.9097241133303,-2.36035191884245,0.601143562286261,-3.92643632390505,8.62137022831225e-05,0.000247441491938434
"b3684",41.7696763931901,-1.86883508974483,0.642464113202873,-2.90885522061012,0.00362754808917565,0.00764434127882916
"b3686",654.026017134234,-2.12368171119467,0.81223087574451,-2.61462814898295,0.00893246447965625,0.0172705170112588
"b3690",93.4444421240999,-2.16443412995145,0.517494151273116,-4.18252868100365,2.88284635823013e-05,8.98533008935505e-05
"b3691",107.689258092229,-0.909068097118443,0.412758549045904,-2.20242100186602,0.0276355837081271,0.0472892884590057
"b4478",194.85650888971,1.36943984465774,0.334116080639444,4.09869480701694,4.15486456946146e-05,0.000125444380808936
"b4477",111.209352095389,1.70951482465853,0.358597624898198,4.7672229428286,1.86782588160824e-06,7.01178530069219e-06
"b3693",254.037190266616,1.63328407570978,0.286793854760363,5.6949758462381,1.23389387907373e-08,6.03711399657528e-08
"b4479",336.724636075343,2.00723137833512,0.301690786064751,6.65327371948414,2.86644379735458e-11,1.90587062513763e-10
"b3696",164.631373994685,-1.37047004847666,0.353050826618074,-3.88179249317894,0.000103689339054278,0.00029362495077987
"b3697",1068.74195303016,1.15164443923116,0.215100682747027,5.35397853936879,8.60410693934868e-08,3.77051876412367e-07
"b3699",17276.223513977,1.09498661455677,0.172381527690257,6.35211109466609,2.12379846504671e-10,1.28518588997548e-09
"b3700",961.861854170318,-1.86014812786649,0.2012401561747,-9.24342419140075,2.38732358729177e-20,3.79289387913546e-19
"b3701",2977.49637253714,-0.974019500284668,0.170304444628075,-5.71928408804486,1.06973811167112e-08,5.29501641739662e-08
